Station,Depth,Original_station_cast,Expt_Date,Latitude,Longitude,Max_Depth,Temperature,Salinity,Turbidity,Chlorophyll,Oxygen,Conductivity,Density,Pressure,Measured_depth,Nitrate,Phosphate,Silicate,TON,Nitrite,Total_Phyto,Synecho,Dogger,Fraction_Syencho,Fraction_Dogger,Total_Bacteria,HNA,LNA,Fraction_HNA,Total_Viruses,V1,V2,V3,Fraction_V1,Fraction_V2,Fraction_V3,VBR,Phyto_Sample_Name,Bacterial_Sample_Name,Viral_Sample_Name,Location,Station_Number,Location_Station_Number
5,30,,2020-09-20,55.045472,1.233139,,,,,,,,,,,2.06,0.31,0.06,2.46,0.4,40454.2635658915,28397.6744186046,0.775193798449612,0.7019698769785,1.9162227417315e-05,1445757.82537068,836627.670345204,609130.155025472,0.578677601230138,45197693.5749588,32979471.957831,10506836.8985801,1711384.71854765,0.729671568376287,0.232464005738587,0.0378644258851258,31.2622852747628,Cruise_NorthSea_PE477_Algae_PE477_5_30m.fcs,BA210507.024,VI210507.033,PE477,5,PE477_5
6,7,64PE477_S15C01,2020-09-21,55.549833,1.346333,79.41,14.9361,34.7279,0.429,0.1471,244.994,42.559882,1025.68601482026,7.18,7.115,0.77035,0.12,0.03555,0.79,0.01965,94862.015503876,79769.7674418605,3.10077519379845,0.840903147778904,3.26872160298107e-05,865156.507413509,460347.18582773,404809.321585779,0.532097004279601,36079077.4299835,24830681.4110609,9534764.34528113,1713631.67364146,0.688229388881917,0.264274061990212,0.0474965491278705,41.7023707512139,Cruise_NorthSea_PE477_Algae_PE477_6_7m.fcs,BA210507.005,VI210507.009,PE477,6,PE477_6
6,15,64PE477_S15C01,2020-09-21,55.549833,1.346333,79.41,14.9569,34.7322,0.4239,0.1539,244.769,42.588603,1025.72119433026,15.448,15.308,0.00035,0.05,0.03555,0.02,0.01965,96348.0620155039,81118.6046511628,6.97674418604651,0.841932914417205,7.24118787664234e-05,869357.495881384,468495.32287986,400862.173001524,0.538898353208404,35762767.7100494,24658439.6462523,9405540.0467037,1698788.01709343,0.689500316255535,0.262998102466793,0.0475015812776724,41.1370096645821,Cruise_NorthSea_PE477_Algae_PE477_6_15m.fcs,BA210507.006,VI210507.010,PE477,6,PE477_6
6,30,64PE477_S15C01,2020-09-21,55.549833,1.346333,79.41,14.9608,34.7357,0.4265,0.1604,244.717,42.602808,1025.78839317421,30.286,30.01,4.99035,0.45,1.18,5.01,0.01965,27534.1085271318,22804.6511627907,0.775193798449612,0.828232776823672,2.81539457755004e-05,696622.73476112,375825.867885649,320796.866875472,0.539496989018774,24857495.8813839,17428818.9513151,6261811.93958525,1166864.99048349,0.701149425287356,0.251908396946565,0.0469421777660788,35.6828662646328,Cruise_NorthSea_PE477_Algae_PE477_6_30m.fcs,BA210507.007,VI210507.011,PE477,6,PE477_6
7,7,64PE477_S17C01,2020-09-22,54.923556,3.701306,43.764,16.0719,34.7786,0.4554,0.2287,238.534,43.730294,1025.47000853278,7,6.937,0.21035,0.14,0.03555,0.23,0.01965,213258.139534884,183481.395348837,25.5813953488372,0.860372296921517,0.000119955071373267,1187149.91762768,723450.344976933,463699.572650744,0.609400998336107,54155683.6902801,37778323.0181066,13342704.6773154,3034655.99485808,0.697587408076377,0.246376811594203,0.0560357803294199,45.6182348043297,Cruise_NorthSea_PE477_Algae_PE477_7_7m_Bottle3.fcs,BA210507.009,VI210507.012,PE477,7,PE477_7
7,15,64PE477_S17C01,2020-09-22,54.923556,3.701306,43.764,16.0724,34.7786,0.4443,0.222,239.106,43.734418,1025.50658546166,15.363,15.224,0.000175,0.09,0.03555,0.007645,0.01965,209615.503875969,181448.837209302,20.1550387596899,0.865626987766453,9.61524237807133e-05,1198023.06425041,735554.556554406,462468.507696006,0.613973619126134,55025535.4200988,38395492.2221753,13347859.1745599,3282184.02336366,0.697775894937513,0.242575725481889,0.0596483795805973,45.9302805280528,Cruise_NorthSea_PE477_Algae_PE477_7_15m.fcs,BA210507.010,VI210507.014,PE477,7,PE477_7
7,30,64PE477_S17C01,2020-09-22,54.923556,3.701306,43.764,16.0768,34.7785,0.4352,0.2427,239.376,43.745365,1025.57161890874,30.437,30.161,0.03035,0.12,0.03555,0.05,0.01965,169383.720930233,148965.891472868,9.30232558139535,0.879458135969429,5.49186517470996e-05,1178747.94069193,691100.855885359,487647.084806568,0.586300795978215,54002471.169687,37187679.0384158,13654887.2812317,3159904.85003947,0.688629209607175,0.252856711655384,0.0585140787374412,45.8134171907757,Cruise_NorthSea_PE477_Algae_PE477_7_30m.fcs,BA210507.011,VI210507.015,PE477,7,PE477_7
8,7,PE486_S02C01,2021-04-14,53.677278,4.131944,36.37,6.4111,34.3681,5.03,0.3788,302.201,34.180712,1026.90794145123,7.304,7.239,5.92,0.34,0.42,6.03,0.11,9614.95327102804,4545.79439252336,264.485981308411,0.472783825816485,0.0275077760497667,911243.822075783,507618.881638854,403624.940436928,0.557061534291136,20372940.6919275,15389386.0639212,4455441.33370021,528113.294306071,0.755383638358062,0.218694070781133,0.0259222908608048,22.3572881355932,Cruise_NorthSea_PE486_Algae_PE486_1_7m.fcs,BA210506.106,VI210506.094,PE486,1,PE486_1
8,15,PE486_S02C01,2021-04-14,53.677278,4.131944,36.37,6.4232,34.3828,4.935,0.4314,302.414,34.208281,1026.95337731861,15.034,14.9,4.37,0.3,0.305,4.47,0.1,11100.9345794393,5142.99065420561,591.588785046729,0.463293483751473,0.0532917999663243,964003.294892916,544065.921076655,419937.373816261,0.564381806534273,23256795.7166392,18296608.0980103,4425358.22845234,534829.390176592,0.786720936148563,0.19028237089799,0.022996692953447,24.1252243014612,Cruise_NorthSea_PE486_Algae_PE486_1_15m.fcs,BA210506.107,VI210506.095,PE486,1,PE486_1
8,30,PE486_S02C01,2021-04-14,53.677278,4.131944,36.37,6.4066,34.4783,4.6454,0.506,303.556,34.285739,1027.10044929991,30.298,30.026,3.79,0.26,0.22,3.88,0.09,10350.4672897196,5114.01869158878,785.046728971963,0.494085778781038,0.0758465011286682,1005642.50411862,549138.611313113,456503.892805503,0.546057479734709,27487438.2207578,22539961.3643504,4385317.71432169,562159.142085779,0.820009532475411,0.159538974825599,0.0204514926989904,27.3332104681165,Cruise_NorthSea_PE486_Algae_PE486_1_30m.fcs,BA210506.108,VI210506.096,PE486,1,PE486_1
9,7,PE486_S04C02,2021-04-15,54.469083,4.222222,48.405,6.5644,34.5111,4.0748,0.9205,322.38,34.447667,1026.99768819262,6.858,6.796,1.185,0.08,0.03555,1.245,0.06,9837.38317757009,2509.34579439252,105.607476635514,0.255082652479574,0.0107353220596618,1128088.96210873,639699.193557552,488389.76855118,0.567064491404796,22428953.8714992,16790112.8481299,4964259.3715059,674581.651863367,0.748590992889123,0.221332631024493,0.030076376086384,19.8822562979189,Cruise_NorthSea_PE486_Algae_PE486_2_7m.fcs,BA210506.109,VI210506.097,PE486,2,PE486_2
9,15,PE486_S04C02,2021-04-15,54.469083,4.222222,48.405,6.3313,34.4944,4.1093,1.0977,319.212,34.224991,1027.0529981204,15.07,14.934,1.68,0.12,0.075,1.74,0.06,8919.6261682243,2713.08411214953,125.233644859813,0.304170159262364,0.0140402347024308,1192462.9324547,651444.945697748,541017.986756947,0.546302050963331,33907537.0675453,28243689.2312936,5045057.76987314,618790.066378546,0.832961980548188,0.148788682581786,0.0182493368700265,28.4348772147964,Cruise_NorthSea_PE486_Algae_PE486_2_15m.fcs,BA210506.110,VI210506.098,PE486,2,PE486_2
