"Location","Station_Number","Bacterial_Sample_Name","Viral_Sample_Name","Expt_Date","Total_Bacteria","HNA","LNA","Total_Viruses","V1","V2","V3","VBR","Latitude","Longitude","Depth","TON","Nitrite","Phosphate","Silicate","Nitrate","Temperature","Salinity","Location_Station_Number","Station","Fraction_HNA","Fraction_V1","Fraction_V2","Fraction_V3"
"PE486",3,"BA210506.113","VI210506.101",2021-04-16,933360.7907743,495149.319864254,438211.470910046,41497734.7611203,30883969.8967429,10039852.3259878,573912.5383896,44.460550701615,54.992528,1.959,15,0.08,0.01965,0.13,0.03555,0.06035,6,34.1,"PE486_3","10",0.530501521767897,0.744232668952292,0.241937358358998,0.0138299726887094
"PE486",3,"BA210506.112","VI210506.100",2021-04-16,926688.63261944,482426.469280492,444262.163338948,42011738.0560132,31329704.2969815,10118805.8302219,563227.928809731,45.3353333333333,54.992528,1.959,7,0.007645,0.01965,0.11,0.03555,0.000175,6,34.1,"PE486_3","10",0.520591763294682,0.74573692369524,0.240856634322788,0.0134064419819716
"PE486",4,"BA210506.131","VI210506.119",2021-04-18,791453.871499176,432835.983711127,358617.887788049,12963138.3855025,8853204.82974071,3723394.69926977,386538.856491989,16.3788931387089,55.273417,0.762167,15,3.4,0.09,0.3,0.03555,3.31,7,34.2,"PE486_4","11",0.546887189889218,0.682952273320004,0.287229418412588,0.0298183082674085
"PE486",4,"BA210506.132","VI210506.120",2021-04-18,708051.894563427,357113.023906074,350938.870657352,12808690.2800659,8759397.00028061,3666541.0654047,382752.214380595,18.0900444987348,55.273417,0.762167,30,3.9,0.11,0.34,0.03555,3.79,7,34.2,"PE486_4","11",0.504359958144402,0.683863596414133,0.28625417472315,0.0298822288627175
"PE486",4,"BA210506.130","VI210506.118",2021-04-18,794913.509060955,436294.76891601,358618.740144946,13643945.6342669,9457040.46576239,3806586.12643434,380319.042070157,17.1640631071734,55.273417,0.762167,7,3.665,0.09,0.3,0.03555,3.575,7.1,34.2,"PE486_4","11",0.548858163740873,0.693130910900946,0.278994524639124,0.0278745644599303
"PE486",5,"BA210506.134","VI210506.122",2021-04-19,733752.059308072,367863.915294303,365888.14401377,17186367.3805601,11782008.7082467,4927503.49534456,476855.176968829,23.4225814599646,54.019417,2.08925,15,2.175,0.08,0.3,0.03555,2.095,7,34.2,"PE486_5","12",0.501346348030966,0.685543864352255,0.286710006031767,0.0277461296159775
"PE486",5,"BA210506.133","VI210506.121",2021-04-19,759699.341021417,379602.694131963,380096.646889454,18433072.4876442,12775866.49944,5101783.84168381,555422.146520351,24.2636415385866,54.019417,2.08925,7,2.095,0.08,0.3,0.03555,2.015,7,34.2,"PE486_5","12",0.499674902470741,0.693094789704959,0.276773383553045,0.0301318267419962
"PE486",6,"BA210506.135","VI210506.123",2021-04-20,1136799.83525535,623733.069104687,513066.766150667,39110584.8434926,27582750.4374572,10683721.0640895,844113.341945883,34.4041084723656,54.974778,1.514028,15,0.02,0.01965,0.12,0.03555,0.00035,6,34.2,"PE486_6","13.1",0.548674489352455,0.70525026787081,0.273166998316241,0.0215827338129496
"PE486",6,"BA210506.136","VI210506.124",2021-04-20,1253191.92751236,676372.855810926,576819.071701429,39722199.3410214,28477558.6530188,10426478.3795009,818162.308501738,31.6968203105743,54.974778,1.514028,7,0.005,0.01965,0.12,0.03555,0.000175,6,34.2,"PE486_6","13.1",0.539720086733688,0.716917973462002,0.26248492159228,0.0205971049457177
"PE486",7,"BA210506.156","VI210506.143",2021-04-21,1185481.87808896,664818.533695404,520663.344393558,41009060.9555189,30370841.3465538,9811132.1502425,827087.458722669,34.5927354213351,54.970917,1.493556,15,0.007645,0.01965,0.12,0.03555,0.000175,7,34.3,"PE486_7","13.2",0.560800250078149,0.740588558696721,0.239243033652594,0.0201684076506843
"PE486",7,"BA210506.157","VI210506.144",2021-04-21,1253562.6029654,745121.168810338,508441.434155065,43081136.738056,32441632.0281304,9762093.32586869,877411.384056887,34.3669607215021,54.970917,1.493556,30,0.007645,0.01965,0.12,0.03555,0.000175,7,34.3,"PE486_7","13.2",0.594402837997635,0.753035655149575,0.226597858483276,0.0203664863671487
"PE486",7,"BA210506.155","VI210506.142",2021-04-21,1153356.67215815,607621.449110631,545735.223047524,38603377.2652389,28580845.8257449,9321771.00342684,700760.436067135,33.4704590497616,54.970917,1.493556,7,0.007645,0.01965,0.1,0.03555,0.000175,7,34.3,"PE486_7","13.2",0.526828745849845,0.740371642340243,0.241475530479578,0.0181528271801791
"PE486",8,"BA210506.161","VI210506.148",2021-04-22,829015.650741351,439210.317943421,389805.33279793,17881383.8550247,12792735.5109523,4608906.65236197,479741.691710467,21.569416498994,54.102694,1.151583,15,1.515,0.06,0.36,0.03555,1.455,7,34.2,"PE486_8","14",0.529797377830751,0.715422006186478,0.257748879489931,0.0268291143235907
"PE486",8,"BA210506.159","VI210506.146",2021-04-22,830869.02800659,431676.416364357,399192.611642233,26830724.8764415,21462022.8228857,4839851.77549396,528850.2780619,32.2923637445163,54.102694,1.151583,30,2.025,0.09,0.26,0.03555,1.935,7,34.2,"PE486_8","14",0.519548089787424,0.799904695893259,0.180384682030844,0.0197106220758967
"PE486",8,"BA210506.158","VI210506.145",2021-04-22,966042.009884679,535948.891559854,430093.118324824,25598846.7874794,20033325.7899027,4944296.6629867,621224.334589983,26.4986890068427,54.102694,1.151583,7,1.37,0.05,0.22,0.03555,1.32,7,34.2,"PE486_8","14",0.554788390231428,0.782587042151492,0.193145289084077,0.0242676687644316
