"Overlay","Filename","Gate","Total_Events","SSCA_geometric_mean","FL_geometric_mean","percent_gated_cells","percent_all_cells","Location","Station_Number","Depth","Acquisition_Duration","Flow_Rate","cells_per_mL"
1,"Cruise_NorthSea_PE486_Algae_PE486_6_7m.fcs","synecho",1616,"246.7","769.46",15.19,15.19,"PE486","6","7",10,107,1510.28037383178
1,"Cruise_NorthSea_PE486_Algae_PE486_6_15m.fcs","synecho",1276,"252.44","1037.21",20.11,20.11,"PE486","6","15",10,107,1192.52336448598
1,"Cruise_NorthSea_PE486_Algae_PE486_7_7m.fcs","synecho",1761,"235.56","700.47",11.5,11.5,"PE486","7","7",10,107,1645.79439252336
1,"Cruise_NorthSea_PE486_Algae_PE486_7_15m.fcs","synecho",1505,"231.15","914.61",9.88,9.88,"PE486","7","15",10,107,1406.54205607477
1,"Cruise_NorthSea_PE486_Algae_PE486_7_30m.fcs","synecho",1254,"219.69","1213.64",7.27,7.27,"PE486","7","30",10,107,1171.96261682243
1,"Cruise_NorthSea_PE486_Algae_PE486_8_7m.fcs","synecho",4419,"233.54","688.83",21.23,21.23,"PE486","8","7",10,107,4129.90654205607
1,"Cruise_NorthSea_PE486_Algae_PE486_8_15m.fcs","synecho",3927,"239.16","751.36",22.27,22.27,"PE486","8","15",10,107,3670.09345794392
1,"Cruise_NorthSea_PE486_Algae_PE486_8_30m.fcs","synecho",3157,"228.33","1257.42",38.46,38.46,"PE486","8","30",10,107,2950.46728971963
1,"NJ_Algae_NJ_1.fcs","synecho",18801,"147.21","513.15",36.59,36.59,"NJ","1","1",10,129,14574.4186046512
1,"NJ_Algae_NJ_2.fcs","synecho",12988,"163.28","544.02",33.85,33.85,"NJ","2","1",10,129,10068.2170542636
1,"NJ_Algae_NJ_3.fcs","synecho",58117,"131.19","306.05",54.44,54.44,"NJ","3","1",10,129,45051.9379844961
1,"NJ_Algae_NJ_4.fcs","synecho",63345,"128.44999999999999","292.44",57.71,57.71,"NJ","4","1",10,129,49104.6511627907
1,"NJ_Algae_NJ_5.fcs","synecho",2402,"150.59","435.37",11.02,11.02,"NJ","5","1",10,129,1862.01550387597
1,"NJ_Algae_NJ_6.fcs","synecho",4067,"138.06","327",9.62,9.62,"NJ","6","1",9,129,3503.01464254953
1,"NJ_Algae_NJ_7.fcs","synecho",2619,"##ERROR##","602.44",12.56,12.56,"NJ","7","1",10,129,2030.23255813953
1,"Cruise_NorthSea_PE477_Algae_PE477_1_7m.fcs","dogger",1,"746","1639",0,0,"PE477","1","7",10,129,0.775193798449612
1,"Cruise_NorthSea_PE477_Algae_PE477_2_7m.fcs","dogger",2,"7337.3","2072.75",0,0,"PE477","2","7",10,129,1.55038759689922
1,"Cruise_NorthSea_PE477_Algae_PE477_2_15m.fcs","dogger",6,"2951.67","5904.06",0.01,0.01,"PE477","2","15",10,129,4.65116279069767
1,"Cruise_NorthSea_PE477_Algae_PE477_2_30m.fcs","dogger",7,"11158.76","4182.88",0.02,0.01,"PE477","2","30",10,129,5.42635658914729
1,"Cruise_NorthSea_PE477_Algae_PE477_3_7m.fcs","dogger",7,"6511.66","4549.34",0.02,0.02,"PE477","3","7",10,129,5.42635658914729
1,"Cruise_NorthSea_PE477_Algae_PE477_3_15m.fcs","dogger",0,"##ERROR##","##ERROR##",0,0,"PE477","3","15",10,129,0
1,"Cruise_NorthSea_PE477_Algae_PE477_3_30m.fcs","dogger",0,"##ERROR##","##ERROR##",0,0,"PE477","3","30",9,129,0
1,"Cruise_NorthSea_PE477_Algae_PE477_4_7m.fcs","dogger",1,"4857","4767",0.01,0.01,"PE477","4","7",10,129,0.775193798449612
1,"Cruise_NorthSea_PE477_Algae_PE477_4_15m.fcs","dogger",2,"9145.64","2597.6999999999998",0.01,0.01,"PE477","4","15",10,129,1.55038759689922
1,"Cruise_NorthSea_PE477_Algae_PE477_4_30m.fcs","dogger",0,"##ERROR##","##ERROR##",0,0,"PE477","4","30",10,129,0
1,"Cruise_NorthSea_PE477_Algae_PE477_5_7m.fcs","dogger",14,"7399.42","5801.62",0.01,0.01,"PE477","5","7",10,129,10.8527131782946
1,"Cruise_NorthSea_PE477_Algae_PE477_5_15m.fcs","dogger",10,"6433.4","4466.82",0.01,0.01,"PE477","5","15",10,129,7.75193798449612
1,"Cruise_NorthSea_PE477_Algae_PE477_5_30m.fcs","dogger",1,"2779","10877",0,0,"PE477","5","30",10,129,0.775193798449612
1,"Cruise_NorthSea_PE477_Algae_PE477_6_7m.fcs","dogger",4,"14140.32","3047.66",0,0,"PE477","6","7",10,129,3.10077519379845
1,"Cruise_NorthSea_PE477_Algae_PE477_6_15m.fcs","dogger",9,"2982.11","3189.58",0.01,0.01,"PE477","6","15",10,129,6.97674418604651
1,"Cruise_NorthSea_PE477_Algae_PE477_6_30m.fcs","dogger",1,"5308","2871",0,0,"PE477","6","30",10,129,0.775193798449612
1,"Cruise_NorthSea_PE477_Algae_PE477_7_7m_Bottle3.fcs","dogger",33,"2742.86","2385.9",0.01,0.01,"PE477","7","7",10,129,25.5813953488372
1,"Cruise_NorthSea_PE477_Algae_PE477_7_15m.fcs","dogger",26,"3315.46","2736.66",0.01,0.01,"PE477","7","15",10,129,20.1550387596899
1,"Cruise_NorthSea_PE477_Algae_PE477_7_30m.fcs","dogger",12,"3846.15","3614.83",0.01,0.01,"PE477","7","30",10,129,9.30232558139535
1,"Cruise_NorthSea_PE486_Algae_PE486_1_7m.fcs","dogger",283,"8360.33","7343.65",2.75,2.58,"PE486","1","7",10,107,264.485981308411
1,"Cruise_NorthSea_PE486_Algae_PE486_1_15m.fcs","dogger",633,"7374.53","4749",5.33,4.79,"PE486","1","15",10,107,591.588785046729
1,"Cruise_NorthSea_PE486_Algae_PE486_1_30m.fcs","dogger",840,"9094.6299999999992","3420.36",7.58,6.93,"PE486","1","30",10,107,785.046728971963
1,"Cruise_NorthSea_PE486_Algae_PE486_2_7m.fcs","dogger",113,"7171.13","6184.56",1.07,1.03,"PE486","2","7",10,107,105.607476635514
1,"Cruise_NorthSea_PE486_Algae_PE486_2_15m.fcs","dogger",134,"8292.64","5725.99",1.4,1.35,"PE486","2","15",10,107,125.233644859813
1,"Cruise_NorthSea_PE486_Algae_PE486_2_30m.fcs","dogger",147,"11142.05","4809.97",2.67,2.38,"PE486","2","30",10,107,137.383177570093
1,"Cruise_NorthSea_PE486_Algae_PE486_3_7m.fcs","dogger",6172,"10442.59","5727.62",73.21,70.34,"PE486","3","7",10,107,5768.22429906542
1,"Cruise_NorthSea_PE486_Algae_PE486_3_15m.fcs","dogger",8751,"8513.14","5700.82",81.4,78.48,"PE486","3","15",10,107,8178.5046728972
1,"Cruise_NorthSea_PE486_Algae_PE486_4_7m.fcs","dogger",158,"9566.44","934.75",1.04,1.02,"PE486","4","7",10,107,147.663551401869
1,"Cruise_NorthSea_PE486_Algae_PE486_4_15m.fcs","dogger",163,"8688.9699999999993","1393.69",1.02,1,"PE486","4","15",10,107,152.336448598131
1,"Cruise_NorthSea_PE486_Algae_PE486_4_30m.fcs","dogger",123,"8496.9699999999993","1193.03",1.9,1.76,"PE486","4","30",10,107,114.953271028037
1,"Cruise_NorthSea_PE486_Algae_PE486_5_7m.fcs","dogger",278,"11496.52","9673.57",4.18,3.72,"PE486","5","7",10,107,259.81308411215
1,"Cruise_NorthSea_PE486_Algae_PE486_5_15m.fcs","dogger",249,"10951.65","8666.9",3.69,3.35,"PE486","5","15",10,107,232.710280373832
1,"Cruise_NorthSea_PE486_Algae_PE486_6_7m.fcs","dogger",68,"8970.5","2800.17",0.66,0.64,"PE486","6","7",10,107,63.5514018691589
1,"Cruise_NorthSea_PE486_Algae_PE486_6_15m.fcs","dogger",277,"12753.47","1305.94",4.58,4.37,"PE486","6","15",10,107,258.878504672897
1,"Cruise_NorthSea_PE486_Algae_PE486_7_7m.fcs","dogger",519,"13957.28","2897.95",3.49,3.39,"PE486","7","7",10,107,485.046728971963
1,"Cruise_NorthSea_PE486_Algae_PE486_7_15m.fcs","dogger",5180,"13342.28","1641.15",35.25,34.02,"PE486","7","15",10,107,4841.1214953271
1,"Cruise_NorthSea_PE486_Algae_PE486_7_30m.fcs","dogger",9701,"13420.7","1644.95",58.62,56.23,"PE486","7","30",10,107,9066.35514018692
1,"Cruise_NorthSea_PE486_Algae_PE486_8_7m.fcs","dogger",285,"12003.34","4837.62",1.39,1.37,"PE486","8","7",10,107,266.355140186916
1,"Cruise_NorthSea_PE486_Algae_PE486_8_15m.fcs","dogger",291,"13063.92","3987.84",1.7,1.65,"PE486","8","15",10,107,271.96261682243
1,"Cruise_NorthSea_PE486_Algae_PE486_8_30m.fcs","dogger",332,"13302.95","4426.21",4.79,4.04,"PE486","8","30",10,107,310.280373831776
1,"NJ_Algae_NJ_1.fcs","dogger",11,"6143.71","3253.95",0.03,0.02,"NJ","1","1",10,129,8.52713178294574
1,"NJ_Algae_NJ_2.fcs","dogger",1,"8397","2961",0,0,"NJ","2","1",10,129,0.775193798449612
1,"NJ_Algae_NJ_3.fcs","dogger",30,"6356.83","3491.91",0.03,0.03,"NJ","3","1",10,129,23.2558139534884
1,"NJ_Algae_NJ_4.fcs","dogger",18,"2435.7600000000002","3303.8",0.02,0.02,"NJ","4","1",10,129,13.953488372093
1,"NJ_Algae_NJ_5.fcs","dogger",0,"##ERROR##","##ERROR##",0,0,"NJ","5","1",10,129,0
1,"NJ_Algae_NJ_6.fcs","dogger",6,"7811.16","1074.33",0.02,0.01,"NJ","6","1",9,129,5.16795865633075
1,"NJ_Algae_NJ_7.fcs","dogger",1,"63862","5819",0.01,0,"NJ","7","1",10,129,0.775193798449612
