"Overlay","Filename","Overlay_Gate","Gate","Total_Events","percent_gated_cells","percent_all_cells"
1,"Cruise_NorthSea_PE486_Algae_PE486_4_15m.fcs compensated","Gate 2","Gate 14",2385,70.75,14.7
1,"Cruise_NorthSea_PE486_Algae_PE486_4_30m.fcs compensated","Gate 2","Gate 14",1889,84.22,27.01
1,"Cruise_NorthSea_PE486_Algae_PE486_4_xm_Run3.fcs compensated","Gate 2","Gate 14",2289,64.41,14.44
1,"Cruise_NorthSea_PE486_Algae_PE486_4_ym.fcs compensated","Gate 2","Gate 14",2047,86.88,28.29
1,"Cruise_NorthSea_PE486_Algae_PE486_4_zm.fcs compensated","Gate 2","Gate 14",2397,71.77,15.69
1,"Cruise_NorthSea_PE486_Algae_PE486_5_7m.fcs compensated","Gate 2","Gate 14",2827,78.83,37.8
1,"Cruise_NorthSea_PE486_Algae_PE486_5_15m.fcs compensated","Gate 2","Gate 14",2853,80.28,38.42
1,"Cruise_NorthSea_PE486_Algae_PE486_6_7_8m.fcs compensated","Gate 2","Gate 14",1233,77.79,20.85
1,"Cruise_NorthSea_PE486_Algae_PE486_6_7_8m_Run2.fcs compensated","Gate 2","Gate 14",1372,79.63,23.31
1,"Cruise_NorthSea_PE486_Algae_PE486_6_7m.fcs compensated","Gate 2","Gate 14",1605,85.37,15.09
1,"Cruise_NorthSea_PE486_Algae_PE486_6_15m.fcs compensated","Gate 2","Gate 14",1268,75.61,19.98
1,"Cruise_NorthSea_PE486_Algae_PE486_7_7m.fcs compensated","Gate 2","Gate 14",1748,68.15,11.42
1,"Cruise_NorthSea_PE486_Algae_PE486_7_15m.fcs compensated","Gate 2","Gate 14",1500,23.46,9.85
1,"Cruise_NorthSea_PE486_Algae_PE486_7_30m.fcs compensated","Gate 2","Gate 14",1240,11.8,7.19
1,"Cruise_NorthSea_PE486_Algae_PE486_8_2m.fcs compensated","Gate 2","Gate 14",4333,77.95,20.26
1,"Cruise_NorthSea_PE486_Algae_PE486_8_7m.fcs compensated","Gate 2","Gate 14",4392,82.48,21.1
1,"Cruise_NorthSea_PE486_Algae_PE486_8_15m.fcs compensated","Gate 2","Gate 14",3903,82.15,22.14
1,"Cruise_NorthSea_PE486_Algae_PE486_8_20m.fcs compensated","Gate 2","Gate 14",3033,85.8,40.12
1,"Cruise_NorthSea_PE486_Algae_PE486_8_30m.fcs compensated","Gate 2","Gate 14",3127,82.53,38.1
1,"Cruise_NorthSea_PE486_Algae_PE486_8_40m.fcs compensated","Gate 2","Gate 14",3167,78.84,37
1,"Cruise_NorthSea_PE486_Algae_PE486_8_45_8m.fcs compensated","Gate 2","Gate 14",3240,70.3,30.38
1,"Cruise_NorthSea_PE477_Algae_PE477_1_7m.fcs compensated","Gate 2","Gate 15",1512,4.4,2.71
1,"Cruise_NorthSea_PE477_Algae_PE477_2_7m.fcs compensated","Gate 2","Gate 15",260,0.63,0.57
1,"Cruise_NorthSea_PE477_Algae_PE477_2_15m.fcs compensated","Gate 2","Gate 15",326,0.77,0.68
1,"Cruise_NorthSea_PE477_Algae_PE477_2_30m.fcs compensated","Gate 2","Gate 15",423,0.99,0.85
1,"Cruise_NorthSea_PE477_Algae_PE477_3_7m.fcs compensated","Gate 2","Gate 15",296,1.36,0.84
