"Overlay","Filename","Overlay_Gate","Gate","Total_Events","percent_gated_cells","percent_all_cells","Location","Station_Number","Depth","Location_Station","Acquisition_Duration","Flow_Rate","cells_per_mL"
1,"Cruise_NorthSea_PE477_Algae_PE477_5_30m.fcs compensated","2","14",36335,96.44,68.21,"PE477",5,30,"PE477_5",10,129,28166.6666666667
1,"Cruise_NorthSea_PE477_Algae_PE477_6_7m.fcs compensated","2","14",102448,98.97,83.5,"PE477",6,7,"PE477_6",10,129,79417.0542635659
1,"Cruise_NorthSea_PE477_Algae_PE477_6_15m.fcs compensated","2","14",104200,98.96,83.62,"PE477",6,15,"PE477_6",10,129,80775.1937984496
1,"Cruise_NorthSea_PE477_Algae_PE477_6_30m.fcs compensated","2","14",29130,97.44,79.98,"PE477",6,30,"PE477_6",10,129,22581.3953488372
1,"Cruise_NorthSea_PE477_Algae_PE477_7_7m_Bottle3.fcs compensated","2","14",235494,99.07,85.38,"PE477",7,7,"PE477_7",10,129,182553.488372093
1,"Cruise_NorthSea_PE477_Algae_PE477_7_7m_Bottle3.fcs compensated","2","14",235494,99.07,85.38,"PE477",7,7,"PE477_7",10,129,182553.488372093
1,"Cruise_NorthSea_PE477_Algae_PE477_7_15m.fcs compensated","2","14",233116,99.11,85.98,"PE477",7,15,"PE477_7",10,129,180710.07751938
1,"Cruise_NorthSea_PE477_Algae_PE477_7_30m.fcs compensated","2","14",191429,99.13,87.44,"PE477",7,30,"PE477_7",10,129,148394.573643411
1,"Cruise_NorthSea_PE486_Algae_PE486_1_7m.fcs compensated","2","14",4683,83.09,42.72,"PE486",1,7,"PE486_1",10,107,4376.63551401869
1,"Cruise_NorthSea_PE486_Algae_PE486_1_15m.fcs compensated","2","14",5227,77.46,39.59,"PE486",1,15,"PE486_1",10,107,4885.04672897196
1,"Cruise_NorthSea_PE486_Algae_PE486_1_30m.fcs compensated","2","14",5277,78.07,43.53,"PE486",1,30,"PE486_1",10,107,4931.77570093458
1,"Cruise_NorthSea_PE486_Algae_PE486_2_7m.fcs compensated","2","14",2614,79.24,23.85,"PE486",2,7,"PE486_2",10,107,2442.99065420561
1,"Cruise_NorthSea_PE486_Algae_PE486_2_7m.fcs compensated","2","14",2614,79.24,23.85,"PE486",2,7,"PE486_2",10,107,2442.99065420561
1,"Cruise_NorthSea_PE486_Algae_PE486_2_15m.fcs compensated","2","14",2820,81.13,28.38,"PE486",2,15,"PE486_2",10,107,2635.51401869159
1,"Cruise_NorthSea_PE486_Algae_PE486_2_30m.fcs compensated","2","14",2165,80.51,35.02,"PE486",2,30,"PE486_2",10,107,2023.36448598131
1,"Cruise_NorthSea_PE486_Algae_PE486_3_7m.fcs compensated","2","14",620,9.13,7.07,"PE486",3,7,"PE486_3",10,107,579.439252336449
1,"Cruise_NorthSea_PE486_Algae_PE486_3_15m.fcs compensated","2","14",604,6.42,5.42,"PE486",3,15,"PE486_3",10,107,564.485981308411
1,"Cruise_NorthSea_PE486_Algae_PE486_4_7m.fcs compensated","2","14",2453,70.43,15.83,"PE486",4,7,"PE486_4",10,107,2292.52336448598
1,"Cruise_NorthSea_PE486_Algae_PE486_4_15m.fcs compensated","2","14",2385,70.75,14.7,"PE486",4,15,"PE486_4",10,107,2228.97196261682
1,"Cruise_NorthSea_PE486_Algae_PE486_4_30m.fcs compensated","2","14",1889,84.22,27.01,"PE486",4,30,"PE486_4",10,107,1765.42056074766
1,"Cruise_NorthSea_PE486_Algae_PE486_5_7m.fcs compensated","2","14",2827,78.83,37.8,"PE486",5,7,"PE486_5",10,107,2642.05607476635
1,"Cruise_NorthSea_PE486_Algae_PE486_5_15m.fcs compensated","2","14",2853,80.28,38.42,"PE486",5,15,"PE486_5",10,107,2666.35514018692
1,"Cruise_NorthSea_PE486_Algae_PE486_6_7m.fcs compensated","2","14",1605,85.37,15.09,"PE486",6,7,"PE486_6",10,107,1500
1,"Cruise_NorthSea_PE486_Algae_PE486_6_7m.fcs compensated","2","14",1605,85.37,15.09,"PE486",6,7,"PE486_6",10,107,1500
1,"Cruise_NorthSea_PE486_Algae_PE486_6_7m.fcs compensated","2","14",1605,85.37,15.09,"PE486",6,7,"PE486_6",10,107,1500
1,"Cruise_NorthSea_PE486_Algae_PE486_6_15m.fcs compensated","2","14",1268,75.61,19.98,"PE486",6,15,"PE486_6",10,107,1185.04672897196
1,"Cruise_NorthSea_PE486_Algae_PE486_7_7m.fcs compensated","2","14",1748,68.15,11.42,"PE486",7,7,"PE486_7",10,107,1633.64485981308
1,"Cruise_NorthSea_PE486_Algae_PE486_7_15m.fcs compensated","2","14",1500,23.46,9.85,"PE486",7,15,"PE486_7",10,107,1401.8691588785
1,"Cruise_NorthSea_PE486_Algae_PE486_7_30m.fcs compensated","2","14",1240,11.8,7.19,"PE486",7,30,"PE486_7",10,107,1158.8785046729
1,"Cruise_NorthSea_PE486_Algae_PE486_8_7m.fcs compensated","2","14",4392,82.48,21.1,"PE486",8,7,"PE486_8",10,107,4104.67289719626
1,"Cruise_NorthSea_PE486_Algae_PE486_8_15m.fcs compensated","2","14",3903,82.15,22.14,"PE486",8,15,"PE486_8",10,107,3647.66355140187
1,"Cruise_NorthSea_PE486_Algae_PE486_8_30m.fcs compensated","2","14",3127,82.53,38.1,"PE486",8,30,"PE486_8",10,107,2922.42990654206
1,"Cruise_NorthSea_PE477_Algae_PE477_1_7m.fcs compensated","2","15",1512,4.4,2.71,"PE477",1,7,"PE477_1",10,129,1172.09302325581
1,"Cruise_NorthSea_PE477_Algae_PE477_2_7m.fcs compensated","2","15",260,0.63,0.57,"PE477",2,7,"PE477_2",10,129,201.550387596899
1,"Cruise_NorthSea_PE477_Algae_PE477_2_15m.fcs compensated","2","15",326,0.77,0.68,"PE477",2,15,"PE477_2",10,129,252.713178294574
1,"Cruise_NorthSea_PE477_Algae_PE477_2_30m.fcs compensated","2","15",423,0.99,0.85,"PE477",2,30,"PE477_2",10,129,327.906976744186
1,"Cruise_NorthSea_PE477_Algae_PE477_3_7m.fcs compensated","2","15",296,1.36,0.84,"PE477",3,7,"PE477_3",10,129,229.457364341085
1,"Cruise_NorthSea_PE477_Algae_PE477_3_15m.fcs compensated","2","15",261,1.37,0.84,"PE477",3,15,"PE477_3",10,129,202.325581395349
